Index,Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
515109,515109,Izzy Rubin,True Self,3wJYd4AguIe41wp8gPZAmL,41,2021,piano,0.2,0.00406,7,-34.997,1,0.0432,0.973,0.946,0.0996,0.151,56.958,237159,4
494002,494002,Panuma,Like Mmh,11ra4Y7CUE7lAJZOXkmGSA,49,2021,edm,0.801,0.798,11,-4.942,0,0.0502,0.047,0.01,0.079,0.378,121.974,162664,4
232915,232915,Frankie Gavin,The Mountain Road / Old Concertina Reel (2 Reels) [Live],0Oh03sjYtG61Cju0IeO0dd,41,2016,folk,0.45,0.469,3,-16.067,1,0.044,0.847,0.122,0.676,0.938,130.364,216520,4
710395,797380,Bersuit Vergarabat,Un Pacto - Live In Buenos Aires / 2001,1lcwoylQLJUtl2pNNdZQ7p,59,2002,alt-rock,0.364,0.55,7,-7.179,1,0.0329,0.421,3.89e-06,0.961,0.206,73.398,295160,4
532618,532618,Alter Bridge,Pawns & Kings,4ZqAfNYdK6Wm6JpA2ldCrb,43,2022,alt-rock,0.447,0.866,6,-5.588,1,0.0775,1.07e-05,3.87e-06,0.185,0.285,86.469,378313,4
445722,445722,Boris Brejcha,To The Moon And Back,42e4LqRQ0W6jBVrtDenThj,43,2020,german,0.802,0.651,5,-9.468,1,0.0495,0.000199,0.835,0.0949,0.332,125.011,480000,4
532919,532919,Sophie Hutchings,Still / Sound – piano reworks,1n6ouOiQpRXaWVTeDOGxDW,46,2022,ambient,0.352,0.127,10,-26.317,0,0.0304,0.988,0.929,0.134,0.13,137.905,291000,4
338619,338619,Ol' Dirty Bastard,"Intoxicated (feat. Raekwon, Method Man & Macy Gray)",0Glqiq3IX84Q28x8SW4CQe,46,2018,hardcore,0.895,0.57,6,-6.321,1,0.122,0.0578,0.0,0.05,0.766,88.22,257067,4
202770,202770,Perdidos De Sinaloa,No Te Vallas,4uiWulj8oXHzn8isGHwUfb,41,2015,sad,0.615,0.631,11,-4.665,0,0.0299,0.44,0.0,0.109,0.775,114.864,199213,4
411448,411448,Letoa,Slatnoslime,3mW5B5NVS5189k9KgjKNq6,51,2019,sad,0.754,0.438,1,-13.198,0,0.215,0.177,0.000687,0.161,0.268,112.019,165082,4
544109,544109,Martin Ikin,Feel The Vibe,12RAnp0xkdW22UGfgejElE,50,2022,deep-house,0.699,0.962,7,-5.848,1,0.0743,0.00105,0.501,0.185,0.531,127.041,185194,4
579494,579494,Sleep Fruits Music,Myths,61Q3l4i5Vpx216rXmrv81B,48,2022,sleep,0.204,0.035,2,-35.164,1,0.0428,0.961,0.677,0.083,0.0446,68.203,136000,3
548022,548022,blackbear,back in rehab,1Tw75csfof4bFQOyL7HMvp,44,2022,electro,0.577,0.874,5,-3.078,1,0.037,0.00999,0.0,0.0779,0.592,89.598,159844,4
1010901,1245073,Kings of Leon,Be Somebody,0eQjA54TJkwTHDJKG8OkRg,50,2008,rock,0.487,0.835,2,-6.44,1,0.0588,0.0274,0.00754,0.211,0.311,133.907,227147,4
